Plant Name,Growth,Soil,Sunlight,Watering,Fertilization Type
Chrysanthemum,fast,well-drained,full sunlight,Water when soil feels dry,Balanced
Daffodil,slow,well-drained,full sunlight,Water weekly,Balanced
Sunflower,fast,well-drained,full sunlight,Water weekly,Balanced
Tulip,slow,sandy,full sunlight,Water when soil is dry,Low-nitrogen
Peony,slow,well-drained,full sunlight,Water weekly,Balanced
Jasmine,moderate,loamy,full sunlight,Water weekly,Organic
Ivy,moderate,well-drained,indirect sunlight,Keep soil slightly moist,Balanced
Nasturtium,fast,well-drained,full sunlight,Water weekly,Organic
Petunia,fast,well-drained,full sunlight,Water weekly,Balanced
Carnation,moderate,well-drained,full sunlight,Water when soil is dry,Low-nitrogen
Snapdragon,fast,well-drained,full sunlight,Water weekly,Balanced
Pansy,moderate,well-drained,partial sunlight,Keep soil evenly moist,Organic
Sweet Pea,fast,loamy,full sunlight,Water weekly,Balanced
Morning Glory,fast,well-drained,full sunlight,Water weekly,Balanced
Verbena,moderate,sandy,full sunlight,Water weekly,Low-nitrogen
Gerbera Daisy,moderate,well-drained,full sunlight,Water weekly,Balanced
Anemone,moderate,well-drained,partial sunlight,Keep soil evenly moist,Organic
Hyacinth,moderate,loamy,full sunlight,Water weekly,Low-nitrogen
Crocus,slow,well-drained,full sunlight,Water weekly,Balanced
Dandelion,fast,well-drained,full sunlight,Water weekly,Organic
Foxglove,moderate,well-drained,partial sunlight,Water weekly,Balanced
Bluebell,moderate,well-drained,partial sunlight,Keep soil slightly moist,Organic
Camellia,slow,acidic,partial sunlight,Water weekly,Acidic
Poppy,moderate,well-drained,full sunlight,Water when soil is dry,Low-nitrogen
Magnolia,slow,acidic,full sunlight,Water when soil is dry,Acidic
Holly,slow,acidic,partial sunlight,Water weekly,Acidic
Gardenia,slow,acidic,indirect sunlight,Water weekly,Acidic
Azalea,moderate,acidic,partial sunlight,Keep soil moist,Acidic
Clivia,moderate,well-drained,indirect sunlight,Water weekly,Balanced
Tulsi (Holy Basil),fast,well-drained,full sunlight,Keep soil moist,Balanced
Canna Lily,fast,well-drained,full sunlight,Water weekly,Balanced
Dahlia,moderate,well-drained,full sunlight,Water weekly,Balanced
Daisy,moderate,sandy,full sunlight,Water weekly,Low-nitrogen
Eucalyptus,slow,sandy,full sunlight,Water when soil feels dry,Low-nitrogen
Lotus,moderate,loamy,full sunlight,Keep soil consistently moist,Balanced
Bamboo,moderate,acidic,partial sunlight,Keep soil moist,Acidic
Orchid Cactus,slow,sandy,indirect sunlight,Water weekly,Low-nitrogen
Bromeliad,moderate,well-drained,indirect sunlight,Water weekly,Balanced
Succulent,slow,sandy,full sunlight,Water when soil is dry,Low-nitrogen
Iris,moderate,well-drained,full sunlight,Water weekly,Balanced
Lotus Bamboo,slow,well-drained,indirect sunlight,Water weekly,Organic
Hosta,moderate,well-drained,partial sunlight,Water weekly,Balanced
Echeveria,slow,sandy,indirect sunlight,Water when soil is dry,Low-nitrogen
Catmint,moderate,well-drained,full sunlight,Water weekly,Balanced
Coneflower,moderate,sandy,full sunlight,Water weekly,Balanced
Lamb's Ear,moderate,sandy,full sunlight,Water weekly,Balanced
Alyssum,fast,sandy,full sunlight,Water weekly,Organic
Fuchsia,slow,well-drained,indirect sunlight,Water weekly,Organic
Impatiens,moderate,well-drained,indirect sunlight,Keep soil moist,Organic
Dianthus,moderate,sandy,full sunlight,Water weekly,Balanced
Phlox,moderate,well-drained,full sunlight,Water when soil is dry,Balanced
Lobelia,fast,well-drained,indirect sunlight,Water weekly,Low-nitrogen
Salvia,moderate,sandy,full sunlight,Water weekly,Balanced
Hollyhock,moderate,well-drained,full sunlight,Water weekly,Balanced
Aster,moderate,well-drained,full sunlight,Water weekly,Low-nitrogen
Black-eyed Susan,moderate,sandy,full sunlight,Water weekly,Balanced
Calendula,moderate,sandy,full sunlight,Water weekly,Low-nitrogen
Candytuft,moderate,sandy,full sunlight,Water weekly,Low-nitrogen
Larkspur,moderate,well-drained,partial sunlight,Water weekly,Balanced
Shasta Daisy,moderate,sandy,full sunlight,Water weekly,Low-nitrogen
Periwinkle,moderate,sandy,full sunlight,Water weekly,Low-nitrogen
Coral Bells,moderate,well-drained,partial sunlight,Water weekly,Low-nitrogen
Bleeding Heart,slow,well-drained,partial sunlight,Keep soil moist,Organic
Sweet Alyssum,fast,sandy,full sunlight,Water weekly,Low-nitrogen
Balloon Flower,moderate,sandy,full sunlight,Water weekly,Low-nitrogen
Japanese Anemone,moderate,well-drained,partial sunlight,Water weekly,Balanced
Veronica,moderate,sandy,full sunlight,Water weekly,Low-nitrogen
Sedum,slow,sandy,full sunlight,Water when soil is dry,Low-nitrogen
Helenium,moderate,sandy,full sunlight,Water weekly,Low-nitrogen
Astilbe,moderate,well-drained,partial sunlight,Keep soil moist,Organic
Coreopsis,fast,sandy,full sunlight,Water when soil is dry,Low-nitrogen
Columbine,moderate,well-drained,partial sunlight,Water weekly,Balanced
Globe Thistle,moderate,sandy,full sunlight,Water when soil is dry,Low-nitrogen
Lupine,moderate,sandy,full sunlight,Water weekly,Balanced
Blanket Flower,fast,sandy,full sunlight,Water when soil is dry,Low-nitrogen
Toad Lily,slow,well-drained,partial sunlight,Keep soil moist,Organic
Russian Sage,slow,sandy,full sunlight,Water when soil is dry,Low-nitrogen
Bee Balm,moderate,well-drained,partial sunlight,Keep soil moist,Organic
Speedwell,moderate,sandy,full sunlight,Water weekly,Low-nitrogen
Catnip,fast,sandy,full sunlight,Water when topsoil is dry,Balanced
Tarragon,slow,sandy,full sunlight,Water weekly,Organic
Bay Laurel,slow,sandy,partial sunlight,Water weekly,Organic
Lemon Balm,moderate,well-drained,partial sunlight,Water weekly,Organic
Fennel,moderate,sandy,full sunlight,Water weekly,Organic
Chamomile,moderate,sandy,full sunlight,Water weekly,Organic
Lemongrass,fast,well-drained,full sunlight,Water weekly,Organic
Stevia,slow,well-drained,partial sunlight,Water weekly,Organic
Marjoram,moderate,sandy,full sunlight,Water when soil is dry,No
ZZ Plant,slow,sandy,indirect sunlight,Let soil dry between watering,No
Philodendron,moderate,well-drained,indirect sunlight,Water weekly,No
Monstera,moderate,well-drained,indirect sunlight,Water weekly,No
Calathea,moderate,well-drained,indirect sunlight,Keep soil moist,No
Fern (Boston Fern),moderate,well-drained,indirect sunlight,Keep soil moist,No
Croton,slow,well-drained,indirect sunlight,Water weekly,No
Dieffenbachia,slow,well-drained,indirect sunlight,Water weekly,No
Dracaena,slow,sandy,indirect sunlight,Let soil dry between watering,No
Areca Palm,slow,well-drained,indirect sunlight,Water weekly,No
Majesty Palm,slow,well-drained,indirect sunlight,Water weekly,No
Bird of Paradise,moderate,well-drained,indirect sunlight,Water weekly,No
Anthurium,moderate,well-drained,indirect sunlight,Keep soil moist,No
Chinese Evergreen,slow,well-drained,indirect sunlight,Water weekly,Organic
Peperomia,slow,well-drained,indirect sunlight,Water weekly,Balanced
Ficus Tree,slow,well-drained,indirect sunlight,Water weekly,Low-nitrogen
Succulents (General),slow,sandy,full sunlight,Water when soil is dry,Low-nitrogen
Haworthia,slow,sandy,indirect sunlight,Water when topsoil is dry,Low-nitrogen
String of Pearls,slow,sandy,indirect sunlight,Water when soil is dry,Low-nitrogen
Jade Pothos,moderate,well-drained,indirect sunlight,Keep soil moist,Organic
Swedish Ivy,fast,well-drained,indirect sunlight,Water weekly,Balanced
Wandering Jew,fast,well-drained,indirect sunlight,Water weekly,Balanced
Hoya (Wax Plant),slow,sandy,indirect sunlight,Water when topsoil is dry,Balanced
African Violet,moderate,well-drained,indirect sunlight,Keep soil moist,Organic
Begonia (Outdoor),moderate,well-drained,full sunlight,Water weekly,Organic
Petunia (Trailing),fast,sandy,full sunlight,Regular Watering,Organic
Begonia (Indoor),moderate,well-drained,indirect sunlight,Water weekly,Balanced
Clematis,slow,sandy,full sunlight,Regular Watering,Organic
Ageratum,fast,well-drained,full sunlight,Regular Watering,Organic
Calla Lily,moderate,sandy,partial sunlight,Keep soil moist,Organic
Cineraria,moderate,well-drained,indirect sunlight,Keep soil moist,Organic
Heliotrope,moderate,well-drained,full sunlight,Regular Watering,Organic
Tuberose,slow,sandy,full sunlight,Regular Watering,Organic
Gazania,fast,sandy,full sunlight,Water when soil is dry,Organic
Portulaca,fast,sandy,full sunlight,Water when soil is dry,Balanced
Coleus,moderate,well-drained,indirect sunlight,Regular Watering,Low-nitrogen
Dusty Miller,moderate,sandy,full sunlight,Water when soil is dry,Low-nitrogen
Dianella,slow,sandy,full sunlight,Water weekly,Organic
Lantana,fast,sandy,full sunlight,Water when soil is dry,Organic
Amaryllis,moderate,sandy,full sunlight,Keep soil moist,Low-nitrogen
Yucca,slow,sandy,full sunlight,Water when topsoil is dry,Organic
Acalypha,moderate,sandy,full sunlight,Regular Watering,Organic
Viola,moderate,well-drained,full sunlight,Keep soil moist,Organic
Jasmine (Outdoor),moderate,well-drained,full sunlight,Regular Watering,Balanced
Sweet William,fast,sandy,full sunlight,Water when soil is dry,Organic
Campanula,moderate,sandy,partial sunlight,Keep soil moist,Balanced
Black-Eyed Susan,moderate,sandy,full sunlight,Water weekly,Organic
Bachelorâ€™s Button,fast,sandy,full sunlight,Water when soil is dry,Balanced
Sea Holly,slow,sandy,full sunlight,Water when soil is dry,Balanced
Bellflower,moderate,sandy,partial sunlight,Keep soil moist,Organic
Daylily,fast,sandy,full sunlight,Regular Watering,Low-nitrogen
Yarrow,moderate,sandy,full sunlight,Water when soil is dry,Balanced
Feverfew,moderate,sandy,full sunlight,Water weekly,Balanced
Rudbeckia,moderate,sandy,full sunlight,Water weekly,Organic
Echinacea,slow,sandy,full sunlight,Water weekly,Organic
Ice Plant,fast,sandy,full sunlight,Water when soil is dry,Low-nitrogen
Neem Tree,fast,sandy,full sunlight,Let soil dry between watering,Organic
Peepal Tree (Bodhi Tree),moderate,loamy,partial sunlight,"Regular, well-drained soil",Organic
Banyan Tree (Bargad),slow,well-drained,full sunlight,"Regular, well-drained soil",Low-nitrogen
Kikar Tree (Acacia),moderate,sandy,full sunlight,Let soil dry between watering,Organic
Sheesham Tree,fast,loamy,full sunlight,Let soil dry between watering,Organic
Gul Mohar (Flame Tree),moderate,sandy,full sunlight,"Regular, moist soil",Organic
Amaltas (Golden Shower),moderate,sandy,full sunlight,Water when soil is dry,Low-nitrogen
Date Palm (Khajoor),moderate,sandy,full sunlight,Water when soil is dry,Organic
Ber Tree (Indian Jujube),moderate,sandy,full sunlight,Water when soil feels dry,Organic
Beggonia (Outdoor),moderate,well-drained,full sunlight,"Regular, moist soil",Organic
Chrysanthemum (Outdoor),fast,loamy,full sunlight,"Regular, moist soil",Balanced
Japanese Maple,slow,acidic,partial sunlight,Keep soil consistently moist,Balanced
Euphorbia,fast,sandy,full sunlight,Water when soil is dry,Organic
Pineapple Sage,fast,loamy,full sunlight,"Regular, moist soil",Balanced
Cucumbers,fast,well-drained,full sunlight,"Regular, moist soil",Organic
Maranta (Prayer Plant),moderate,loamy,partial sunlight,"Regular, moist soil",Balanced
Kalanchoe,moderate,sandy,full sunlight,Let soil dry between watering,Balanced
Pilea,moderate,loamy,indirect sunlight,Water when topsoil is dry,Balanced
Pothos (Golden Pathos),fast,loamy,indirect sunlight,Water when topsoil is dry,Balanced
Ficus Benjamina,moderate,well-drained,indirect sunlight,Water when soil is dry,Balanced
Mimosa,fast,loamy,full sunlight,"Regular, moist soil",No
Lavender (English),moderate,sandy,full sunlight,Let soil dry between watering,Balanced
Zucchini,fast,well-drained,full sunlight,"Regular, moist soil",Balanced
Chili Pepper,fast,loamy,full sunlight,"Regular, moist soil",Organic
Radish,fast,well-drained,full sunlight,"Regular, moist soil",Organic
Grape Vine,moderate,acidic,full sunlight,"Regular, well-drained soil",Balanced
Cherry Blossom,slow,well-drained,full sunlight,"Regular, moist soil",Organic
Pine,slow,sandy,full sunlight,Water when soil feels dry,Balanced
Lily of the Valley,slow,acidic,partial sunlight,"Regular, moist soil",Low-nitrogen
Hops,fast,well-drained,full sunlight,"Regular, moist soil",Balanced
Cabbage,fast,well-drained,full sunlight,"Regular, moist soil",Balanced
Tomato,fast,well-drained,full sunlight,Regular Watering,Organic
Bergamot,moderate,loamy,partial sunlight,"Regular, moist soil",Balanced
Wisteria,slow,well-drained,full sunlight,"Regular, moist soil",Balanced
Strawberry,moderate,sandy,full sunlight,"Regular, well-drained soil",Organic
Borage,fast,well-drained,full sunlight,"Regular, moist soil",Organic
Raspberry,moderate,acidic,full sunlight,"Regular, well-drained soil",Organic
Cornflower,moderate,well-drained,full sunlight,"Regular, moist soil",Balanced
Pineapple,slow,sandy,full sunlight,Water weekly,Organic
Lavender (French),moderate,sandy,full sunlight,Let soil dry between watering,Balanced
Acorn Squash,moderate,loamy,full sunlight,Regular watering,Balanced
Apple Tree,slow,sandy,full sunlight,Water weekly,Balanced
Bamboo Orchid,moderate,well-drained,indirect sunlight,Keep soil moist,Organic
Balsam,fast,moist,full sunlight,Regular watering,Organic
Banana Plant,fast,moist,full sunlight,Water weekly,Balanced
Beetroot,moderate,sandy,full sunlight,Regular watering,Organic
Blackcurrant,moderate,acidic,full sunlight,Keep soil moist,Organic
Bok Choy,fast,loamy,full sunlight,Regular watering,Organic
Brassica,moderate,moist,full sunlight,Regular watering,Low-nitrogen
Butternut Squash,moderate,sandy,full sunlight,Regular watering,Organic
Carrot,moderate,sandy,full sunlight,Regular watering,Organic
Chayote,fast,well-drained,full sunlight,Regular watering,Balanced
Chestnut,slow,well-drained,full sunlight,Regular watering,Organic
Clementine,moderate,loamy,full sunlight,Regular watering,Organic
Clove,slow,sandy,full sunlight,Keep soil consistently moist,Organic
Cocoa Tree,moderate,moist,full sunlight,Regular watering,Low-nitrogen
Corn,fast,loamy,full sunlight,Regular watering,Balanced
Cucumber,fast,sandy,full sunlight,Keep soil consistently moist,Organic
Currant,moderate,acidic,full sunlight,Keep soil consistently moist,Organic
Date Palm,slow,sandy,full sunlight,Water when soil is dry,Organic
Dragon Fruit,fast,sandy,full sunlight,Regular watering,Balanced
Eggplant,moderate,loamy,full sunlight,Regular watering,Organic
Elderberry,fast,moist,full sunlight,Regular watering,Organic
Fig Tree,moderate,sandy,full sunlight,Regular watering,Balanced
Green Bean,fast,well-drained,full sunlight,Regular watering,Balanced
Jackfruit,moderate,well-drained,full sunlight,Regular watering,Organic
Jasmine (Indoor),moderate,well-drained,indirect sunlight,Keep soil moist,Low-nitrogen
Jatropha,moderate,sandy,full sunlight,Regular watering,Organic
Kiwi,fast,loamy,full sunlight,Keep soil moist,Organic
Lady's Mantle,moderate,loamy,partial sunlight,Keep soil moist,Organic
Lemon Tree,slow,sandy,full sunlight,Regular watering,Organic
Litchi,moderate,well-drained,full sunlight,Regular watering,Organic
Lychee,moderate,well-drained,full sunlight,Regular watering,Organic
Mallow,fast,loamy,full sunlight,Regular watering,Organic
Mango,moderate,sandy,full sunlight,Regular watering,Organic
Moringa,fast,sandy,full sunlight,Regular watering,Organic
Mulberry,moderate,well-drained,full sunlight,Regular watering,Organic
Mustard,fast,loamy,full sunlight,Regular watering,Balanced
Nectarine,slow,loamy,full sunlight,Regular watering,Organic
Olive Tree,moderate,sandy,full sunlight,Water when soil is dry,Balanced
Acacia,fast,sandy,full sunlight,Let soil dry between watering,Organic
Acanthus,moderate,loamy,partial sunlight,"Regular, moist soil",Organic
Alstroemeria,slow,loamy,partial sunlight,Water when topsoil is dry,Balanced
Amaranth,fast,loamy,full sunlight,"Regular, moist soil",Organic
Anigozanthos (Kangaroo Paw),moderate,sandy,full sunlight,Let soil dry between watering,Balanced
Aquilegia (Columbine),moderate,loamy,partial sunlight,Let soil dry between watering,Organic
Arum Lily,moderate,moist,partial sunlight,"Regular, moist soil",Balanced
Aztec Lily,slow,sandy,partial sunlight,Let soil dry between watering,Organic
Barberry,moderate,sandy,full sunlight,"Regular, well-drained soil",Balanced
Brachychiton (Bottle Tree),slow,well-drained,full sunlight,"Regular, moist soil",Balanced
Cananga (Ylang-Ylang),moderate,loamy,full sunlight,"Regular, well-drained soil",Organic
Carrot Plant,moderate,sandy,full sunlight,"Regular, well-drained soil",Balanced
Cestrum,moderate,loamy,partial sunlight,"Regular, moist soil",Organic
Cockscomb (Celosia),moderate,well-drained,full sunlight,Water when topsoil is dry,Organic
Cress,fast,moist,full sunlight,"Regular, moist soil",Balanced
Cyclamen,moderate,moist,indirect sunlight,"Regular, moist soil",Balanced
Devil’s Ivy,moderate,well-drained,indirect sunlight,"Regular, moist soil",Organic
Ficus Microcarpa,moderate,well-drained,partial sunlight,"Regular, well-drained soil",Organic
Guava,moderate,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Ixia,moderate,well-drained,full sunlight,"Regular, well-drained soil",Low-nitrogen
Jacaranda,moderate,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Kiwi Vine,fast,well-drained,full sunlight,"Regular, well-drained soil",Organic
Knautia,moderate,well-drained,full sunlight,"Regular, well-drained soil",No
Liatris,moderate,well-drained,full sunlight,"Regular, well-drained soil",Low-nitrogen
Lilac,moderate,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Luffa,fast,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Malva (Mallow),moderate,well-drained,full sunlight,"Regular, well-drained soil",Organic
Neoregalia (Bromeliad),moderate,moist,indirect sunlight,"Regular, moist soil",Balanced
Nettle,fast,well-drained,full sunlight,"Regular, well-drained soil",Organic
Passionflower,fast,well-drained,full sunlight,"Regular, well-drained soil",Organic
Pepper Plant,moderate,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Pomegranate,moderate,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Potato Vine,fast,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Protea,slow,well-drained,full sunlight,"Regular, well-drained soil",Organic
Purslane,fast,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Quince,moderate,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Red Hot Poker (Kniphofia),moderate,well-drained,full sunlight,"Regular, well-drained soil",Organic
Red-leafed Maple,slow,well-drained,partial sunlight,"Regular, well-drained soil",Balanced
Rhododendron,slow,acidic,partial sunlight,"Regular, well-drained soil",Organic
Snowdrop,slow,well-drained,full sunlight,"Regular, moist soil",Balanced
Spider Flower,moderate,well-drained,full sunlight,"Regular, well-drained soil",Organic
Star Jasmine,moderate,well-drained,full sunlight,"Regular, well-drained soil",Organic
Strawberry Plant,moderate,well-drained,full sunlight,"Regular, well-drained soil",Organic
Sweet Basil,moderate,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Sweet Potato Vine,fast,well-drained,full sunlight,"Regular, well-drained soil",Organic
Taro,moderate,moist,full sunlight,"Regular, moist soil",Organic
Tiger Lily,moderate,well-drained,full sunlight,"Regular, well-drained soil",Organic
Violet,moderate,moist,indirect sunlight,"Regular, moist soil",Organic
Zebra Plant,moderate,moist,partial sunlight,"Regular, moist soil",Organic
Zephyranthes (Rain Lily),fast,acidic,full sunlight,"Regular, moist soil",Balanced
Buckwheat,fast,sandy,full sunlight,"Regular, moist soil",Low-nitrogen
Cabbage Palm,moderate,sandy,full sunlight,Water when topsoil is dry,Organic
Camelina,fast,loamy,full sunlight,"Regular, moist soil",No
Elderflower,moderate,well-drained,full sunlight,"Regular, moist soil",No
Epazote,fast,moist,full sunlight,"Regular, well-drained soil",Organic
Fern (Maidenhair),slow,moist,indirect sunlight,"Regular, well-drained soil",Organic
Galangal,moderate,well-drained,partial sunlight,"Regular, moist soil",Balanced
Hummingbird Sage,moderate,well-drained,full sunlight,"Regular, well-drained soil",Organic
Indian Cress,moderate,moist,full sunlight,"Regular, moist soil",Low-nitrogen
Lacandonian,moderate,loamy,partial sunlight,"Regular, moist soil",No
Lemon Grass,fast,well-drained,full sunlight,"Regular, moist soil",Organic
Lilac Bush,moderate,well-drained,full sunlight,"Regular, moist soil",Balanced
Mandevilla,fast,loamy,full sunlight,"Regular, well-drained soil",Balanced
Marigold (African),fast,loamy,full sunlight,"Regular, moist soil",Organic
Mayapple,slow,well-drained,partial sunlight,"Regular, moist soil",Low-nitrogen
Nandina (Heavenly Bamboo),moderate,well-drained,partial sunlight,"Regular, well-drained soil",Organic
Nutmeg,moderate,loamy,full sunlight,"Regular, moist soil",Organic
Orchid (Vanilla),slow,well-drained,indirect sunlight,"Regular, well-drained soil",No
Peepal Tree,slow,well-drained,full sunlight,"Regular, moist soil",Organic
Plumeria,moderate,loamy,full sunlight,"Regular, well-drained soil",Low-nitrogen
Quaking Aspen,moderate,well-drained,full sunlight,"Regular, moist soil",Organic
Quinoa,fast,loamy,full sunlight,"Regular, well-drained soil",No
Red Maple,slow,well-drained,full sunlight,"Regular, moist soil",Balanced
Redwood,slow,moist,full sunlight,"Regular, moist soil",Low-nitrogen
River Birch,moderate,well-drained,full sunlight,"Regular, moist soil",Balanced
Rose of Sharon,moderate,moist,full sunlight,"Regular, moist soil",Balanced
Rosemary Mint,moderate,well-drained,partial sunlight,"Regular, well-drained soil",No
Sago Palm,slow,well-drained,full sunlight,"Regular, well-drained soil",Organic
Scabiosa (Pincushion Flower),moderate,loamy,full sunlight,"Regular, moist soil",Organic
Scilla,moderate,moist,full sunlight,"Regular, moist soil",Low-nitrogen
Sedge,slow,well-drained,partial sunlight,"Regular, well-drained soil",Organic
Silene (Catchfly),moderate,loamy,full sunlight,"Regular, well-drained soil",No
Silverbell Tree,moderate,moist,full sunlight,"Regular, well-drained soil",Organic
Soursop,fast,well-drained,full sunlight,"Regular, moist soil",No
Sugarcane,fast,well-drained,full sunlight,"Regular, well-drained soil",Organic
Tansy,slow,loamy,full sunlight,"Regular, moist soil",No
Teak,slow,well-drained,full sunlight,"Regular, well-drained soil",Low-nitrogen
Themeda (Kangaroo Grass),fast,sandy,full sunlight,"Regular, moist soil",Organic
Tobacco Plant,fast,loamy,full sunlight,"Regular, well-drained soil",Balanced
Tuberose (Polianthes),moderate,well-drained,full sunlight,"Regular, moist soil",Organic
Water Lily,slow,loamy,full sunlight,"Regular, moist soil",No
Wattle,moderate,sandy,full sunlight,Water when soil feels dry,No
Yew,slow,loamy,partial sunlight,Water when topsoil is dry,Balanced
Zea Mays (Corn),fast,loamy,full sunlight,Keep soil consistently moist,Low-nitrogen
Zebra Grass,moderate,well-drained,partial sunlight,Keep soil consistently moist,Low-nitrogen
Zoysia Grass,slow,sandy,full sunlight,Water weekly,Organic
Achillea (Yarrow),moderate,well-drained,full sunlight,Let soil dry between watering,Balanced
Angelonia,moderate,well-drained,full sunlight,Keep soil consistently moist,Organic
Armeria (Thrift),slow,sandy,full sunlight,Water when soil is dry,Low-nitrogen
Bearded Iris,slow,sandy,partial sunlight,Keep soil evenly moist,Balanced
Bigleaf Hydrangea,moderate,acidic,full sunlight,Keep soil consistently moist,Organic
Black Currant,moderate,loamy,partial sunlight,Water when soil feels dry,Organic
Blazing Star,moderate,loamy,full sunlight,Water when soil is dry,Organic
Bloodroot,slow,moist,partial sunlight,Keep soil slightly moist,Organic
California Poppy,fast,sandy,full sunlight,Water when soil is dry,Organic
Carob Tree,slow,well-drained,full sunlight,Water when soil is dry,Balanced
Chinese Lantern Plant,moderate,loamy,partial sunlight,Water when soil feels dry,Balanced
Clover,fast,loamy,full sunlight,Water when topsoil is dry,No
Coltsfoot,slow,moist,partial sunlight,Water when soil is dry,Low-nitrogen
Daffodils,slow,loamy,full sunlight,Keep soil consistently moist,Organic
Daisy Fleabane,moderate,loamy,partial sunlight,Water weekly,Low-nitrogen
Dogwood Tree,slow,loamy,partial sunlight,Keep soil consistently moist,Low-nitrogen
Dragonfruit Cactus,moderate,well-drained,full sunlight,Let soil dry between watering,No
Engelmann Spruce,slow,well-drained,full sunlight,Water when soil feels dry,Balanced
Fairy Lantern,moderate,loamy,partial sunlight,Keep soil slightly moist,Balanced
Fritillaria,slow,well-drained,partial sunlight,Water when soil is dry,No
Galax,moderate,moist,partial sunlight,Keep soil evenly moist,No
Ginkgo,slow,loamy,full sunlight,Water when topsoil is dry,Balanced
Grape Hyacinth,fast,loamy,full sunlight,Keep soil consistently moist,Organic
Guar,fast,sandy,full sunlight,Water when soil is dry,No
Gumwood Tree,moderate,loamy,partial sunlight,Water when soil is dry,Organic
Goldenrods,moderate,loamy,full sunlight,Keep soil moist,Organic
Goldenseal,slow,moist,partial sunlight,Keep soil moist,Balanced
Heliopsis,moderate,loamy,full sunlight,Keep soil moist,No
Henbane,moderate,loamy,full sunlight,Water when soil feels dry,Organic
Heracleum (Cow Parsnip),fast,loamy,partial sunlight,Keep soil moist,Balanced
Hops Vine,fast,well-drained,full sunlight,Keep soil moist,Low-nitrogen
Indian Grass,moderate,loamy,full sunlight,Water when soil is dry,Low-nitrogen
Islander (Agave),slow,well-drained,full sunlight,Let soil dry between watering,No
Ironwood,slow,loamy,full sunlight,Water when soil is dry,Organic
Jerusalem Artichoke,fast,loamy,full sunlight,Water when soil is dry,Balanced
Laelia Orchid,slow,well-drained,indirect sunlight,Keep soil consistently moist,No
Ligustrum,fast,loamy,partial sunlight,Water when topsoil is dry,Low-nitrogen
Lilac Tree,slow,loamy,partial sunlight,Water weekly,Balanced
